question,answer
What is shell sort?,"Shell sort can be said a variant of insertion sort. Shell sort divides the list into smaller sublist based on some gap variable and then each sub-list is sorted using insertion sort. In best cases, it can perform upto Ο(n log n)."
How quick sort works?,Quick sort uses divide and conquer approach. It divides the list in smaller 'partitions' using 'pivot'. The values which are smaller than the pivot are arranged in the left partition and greater values are arranged in the right partition. Each partition is recursively sorted using quick sort.
What is a graph?,"A graph is a pictorial representation of a set of objects where some pairs of objects are connected by links. The interconnected objects are represented by points termed as vertices, and the links that connect the vertices are called edges."
How depth first traversal works?,Depth First Search algorithm(DFS) traverses a graph in a depthward motion and uses a stack to remember to get the next vertex to start a search when a dead end occurs in any iteration.
How breadth first traversal works?,Breadth First Search algorithm(BFS) traverses a graph in a breadthwards motion and uses a queue to remember to get the next vertex to start a search when a dead end occurs in any iteration.
What is a tree?,A tree is a minimally connected graph having no loops and circuits.
What is a binary tree?,A binary tree has a special condition that each node can have two children at maximum.
What is a binary search tree?,A binary search tree is a binary tree with a special provision where a node's left child must have value less than its parent's value and node's right child must have value greater than it's parent value.
What is an AVL Tree?,AVL trees are height balancing binary search tree. AVL tree checks the height of left and right sub-trees and assures that the difference is not more than 1. This difference is called Balance Factor.
What is a spanning tree?,"A spanning tree is a subset of Graph G, which has all the vertices covered with minimum possible number of edges. A spanning tree does not have cycles and it can not be disconnected."
How many spanning trees can a graph has?,"It depends on how connected the graph is. A complete undirected graph can have maximum nn-1 number of spanning trees, where n is number of nodes."
How Kruskal's algorithm works?,This algorithm treats the graph as a forest and every node it as an individual tree. A tree connects to another only and only if it has least cost among all available options and does not violate MST properties.
How Prim's algorithm finds spanning tree?,Prim's algorithm treats the nodes as a single tree and keeps on adding new nodes to the spanning tree from the given graph.
What is a minimum spanning tree (MST)?,"In a weighted graph, a minimum spanning tree is a spanning tree that has minimum weight that all other spanning trees of the same graph."
What is a heap in data structure?,"Heap is a special balanced binary tree data structure where root-node key is compared with its children and arranged accordingly. A min-heap, a parent node has key value less than its childs and a max-heap parent node has value greater than its childs."
What is a recursive function?,"A recursive function is one which calls itself, directly or calls a function that in turn calls it. Every recursive function follows the recursive properties − base criteria where functions stops calling itself and progressive approach where the functions tries to meet the base criteria in each iteration."
What is tower of hanoi?,"Tower of Hanoi, is a mathematical puzzle which consists of three tower (pegs) and more than one rings. All rings are of different size and stacked upon each other where the large disk is always below the small disk. The aim is to move the tower of disk from one peg to another, without breaking its properties."
What is fibonacci series?,Fibonacci Series generates subsequent number by adding two previous numbers. For example − 0 1 1 2 3 5 8 13.
What is hashing?,"Hashing is a technique to convert a range of key values into a range of indexes of an array. By using hash tables, we can create an associative data storage where data index can be find by providing its key values."
What is interpolation search technique?,Interpolation search is an improved variant of binary search. This search algorithm works on the probing position of required value.
What is the prefix and post fix notation of (a + b) * (c + d) ?,Postfix Notation − a b + c d + *
